"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total","Year","CENSUS_TYPE"
"Government",1,2708,"Forrest Primary School","Primary","O","0","4","4","2","2","4","1","3","4","1","0","1","1","1","2","1","2","3","2","3","5","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23",2021,"F"
"Government",1,2711,"Fairfield Primary School","Primary","O","49","52","101","35","42","77","34","43","77","34","42","76","40","36","76","32","23","55","39","29","68","0","0","0","530","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","530",2021,"F"
"Government",1,2712,"Nilma Primary School","Primary","O","5","5","10","7","7","14","2","8","10","5","3","8","6","4","10","4","2","6","8","8","16","0","0","0","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74",2021,"F"
"Government",1,2724,"Garfield Primary School","Primary","O","16","12","28","10","9","19","8","14","22","15","7","22","10","10","20","16","7","23","9","8","17","0","0","0","151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","151",2021,"F"
"Government",1,2730,"Yinnar South Primary School","Primary","O","2.6","1","3.6","1","0","1","0.6","0","0.6","2","2","4","1","0","1","0","0","0","1","1","2","0","0","0","12.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.2",2021,"F"
"Government",1,2742,"Officer Primary School","Primary","O","11","10","21","12.4","17","29.4","14","9","23","16","8","24","13","18","31","7","2","9","16","13","29","0","0","0","166.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","166.4",2021,"F"
"Government",1,2743,"Brunswick South Primary School","Primary","O","27","22","49","27","28","55","22","13","35","21","28","49","21","18","39","25","21","46","24","19","43","0","0","0","316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","316",2021,"F"
"Government",1,2744,"Orbost Primary School","Primary","O","6","9","15","8","11","19","7","5","12","3","4","7","3","11","14","9","15","24","7","9","16","0","0","0","107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107",2021,"F"
"Government",1,2776,"Inverloch Primary School","Primary","O","45","29","74","29","36","65","42","37","79","37","24","61","28","36","64","33","33","66","35","34","69","0","0","0","478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","478",2021,"F"
"Government",1,2778,"Surrey Hills Primary School","Primary","O","26","25","51","38","39","77","41","23","64","33","33","66","16","30","46","24","27","51","42","24","66","0","0","0","421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","421",2021,"F"
